path,sha256,bytes
.gitattributes,94c39a916662a1c5aa059d845c78cbf9d368da7bb245430e8ba25caea97a7e51,247
.gitignore,b2692e3d4dee88c3d89f7605b3d82e82bc8f2295a7475b9d7a4bab55023d4233,2403
analysis_code/archive_qa.json,602b56db4b0e84cd26506e6ab12adc15ffc99a85f31df9fec1482e7ba16d698a,132
analysis_code/CODE_SHA256.csv,19831dd516922e1658bc1347f984525aab66f2a4a663162dd9555cba4572b333,52411
analysis_code/INPUTS_REQUIRED.csv,6ec476e84a8b653c6fc4aa200f227f3f994fc9f385062d53a37ded2ad5f52c40,1936
analysis_code/qa/qa_main.py,db1449143516a44e63fada2b1fb262045ef9fe8fa1c61a22f6b20fdc916485bc,605
analysis_code/README.md,b8cc5ac702b9fe4e217b98e070bcfd8247d457e7683c14003ab8f9a3bedea502,10859
analysis_code/REPRODUCIBILITY_STATUS.txt,515464bafd9f533ac7a5cad9378b2a573e79328089370c6c15cfc7ca35cb235d,1123
analysis_code/requirements.txt,53a19639dcebdd9df6311880bc3c3690e29322a101796b3b027b4b29a221f1ad,207
analysis_code/validate_archive.py,8cd221b801f02ce9aea7cb53e4ff660a9dc62bdc75cfe5f44d745996983476c5,3377
analysis_code/workflows/20260810_resource_finance/02_inputs/china_province_boundary_working.geojson,99adfeded5223848bbe37a0a12f8023e11ee12161c7800521c27db42fdeac275,582522
analysis_code/workflows/20260810_resource_finance/02_inputs/china_province_boundary_working_source.txt,5ee0a7d3bf4f90b37ff8696e8ed919a11c747ac91ffc15455facc63d16450b62,504
analysis_code/workflows/20260810_resource_finance/02_inputs/chinabond_government_5y_20260604_20260702.csv,c8d898857d385564f475b4fd82d13f4d60e7f9a5d2f511849ef7046e4f94466c,3840
analysis_code/workflows/20260810_resource_finance/02_inputs/multi_factor_learning_paths_2026_2060.csv,562d6f046322c0528b4c9f3d685f62bb437d1cc560826500b2037bb25ddb9240,22506
analysis_code/workflows/20260810_resource_finance/02_inputs/multi_factor_learning_paths_verified.csv,e620a8bc1b908d9ce4fcdce5b9d4b1edf8b7f6f034206932c43642ce88c64339,102340
analysis_code/workflows/20260810_resource_finance/02_inputs/province_electricity_price_2025.csv,4706940e63a2810bbcd03dafeb2c381b0d96866eb8b44fd1f1e2f36596f02c04,1700
analysis_code/workflows/20260810_resource_finance/02_inputs/provincial_utilization_2025.csv,1607ed3ca14ae4bde7aec57fe344a4963c5a4b250ad6bd1a9dd81d1d35341d53,1582
analysis_code/workflows/20260810_resource_finance/02_inputs/resource_profile_metadata.json,f89de9064247c0333aa387cd93b857dbe2bb767498067f999c7e9423b81b2194,965
analysis_code/workflows/20260810_resource_finance/02_inputs/station_capacity_grid_verified.npz,6981be9cdadef9604dbbbdc7bf982ca6444658bce2223665bdfaadfd3dff96ec,23276396
analysis_code/workflows/20260810_resource_finance/02_inputs/station_inventory_10214.csv,188336d3a2f0d6326b4e357bfeac42e1d254b3116c0eb3bde44ef1e286426463,2968691
analysis_code/workflows/20260810_resource_finance/02_inputs/station_resource_2025_verified.csv,78e3e110e4dc168ad2b43c276699c9763614bac95c254e091017a68bf49a9fdd,2245702
analysis_code/workflows/20260810_resource_finance/02_inputs/water_price_input.csv,d81c430a592534c83799935328c4b2730ac6dbe09f660df08606854fbfa345a4,1358
analysis_code/workflows/20260810_resource_finance/03_code/add_south_china_sea_inset.py,830e74d0842c51252383b393bea2ea273156e36589302d5e5355b1961fabe4fe,8905
analysis_code/workflows/20260810_resource_finance/03_code/audit_complete_r1_r4.py,f223dc8c6f6008fa4944d88e15dd60f29eeb44d48ee57b8bcde910562820176b,7938
